Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Chequing,1234,02/27/2026,,Payroll Deposit - Northwind Studio,,2850.00,
Chequing,1234,02/27/2026,,Deposit Online Transfer,,400.00,
Chequing,1234,02/28/2026,,Presto Load,, -60.00,
Chequing,1234,02/01/2026,,Mobile Cheque Deposit,,250.00,
Chequing,1234,02/02/2026,,Grocery Store,, -96.42,
Chequing,1234,02/02/2026,,Restaurant,, -41.80,
Chequing,1234,02/04/2026,,Netflix Subscription,, -16.99,
Chequing,1234,02/05/2026,,E-Transfer Sent,, -300.00,
Chequing,1234,02/06/2026,,Government Payment,,125.00,
Chequing,1234,02/07/2026,,Student Loan Payment,, -250.00,
Chequing,1234,02/08/2026,,Farmers Market,, -38.25,
Chequing,1234,02/09/2026,,Barber Shop,, -28.00,
Chequing,1234,02/10/2026,,Cafe Mocha,, -12.75,
Chequing,1234,02/11/2026,,Direct Deposit - Freelance Client,,900.00,
Chequing,1234,02/12/2026,,Online Retail Order,, -84.31,
Chequing,1234,03/13/2026,,Municipal Services,, -72.00,
Chequing,1234,03/14/2026,,Amazon Prime,, -11.29,
Chequing,1234,03/15/2026,,Food Delivery,, -24.60,
Chequing,1234,03/01/2026,,Mobile Cheque Deposit,,250.00,
Chequing,1234,03/02/2026,,Grocery Store,, -96.42,
Chequing,1234,03/03/2026,,Restaurant,, -41.80,
Chequing,1234,03/04/2026,,Netflix Subscription,, -16.99,
Chequing,1234,03/05/2026,,E-Transfer Sent,, -300.00,
Chequing,1234,03/06/2026,,Government Payment,,125.00,
Chequing,1234,03/07/2026,,Student Loan Payment,, -250.00,
Chequing,1234,03/08/2026,,Farmers Market,, -38.25,
Chequing,1234,03/09/2026,,Barber Shop,, -28.00,
Chequing,1234,03/10/2026,,Cafe Mocha,, -12.75,
Chequing,1234,03/11/2026,,Direct Deposit - Freelance Client,,900.00,
Chequing,1234,03/12/2026,,Online Retail Order,, -84.31,
Chequing,1234,03/13/2026,,Municipal Services,, -72.00,
Chequing,1234,03/14/2026,,Amazon Prime,, -11.29,
Chequing,1234,03/15/2026,,Food Delivery,, -24.60,
Chequing,1234,03/16/2026,,E-Transfer - Autodeposit,,150.00,
Chequing,1234,03/17/2026,,Supermarket,, -67.14,
Credit Card,5678,03/02/2026,,Gas Station,, -58.11,
Credit Card,5678,03/03/2026,,Uber Trip,, -19.45,
Credit Card,5678,03/04/2026,,Steam Purchase,, -34.99,
Credit Card,5678,03/05/2026,,Clothing Store,, -128.40,
Credit Card,5678,03/06/2026,,Uber Eats,, -27.35,
Credit Card,5678,03/07/2026,,Apple.com Bill,, -9.99,
Credit Card,5678,03/08/2026,,Lottery,, -10.00,
Credit Card,5678,03/09/2026,,Monthly Fee,, -12.00,
Credit Card,5678,03/10/2026,,Cash Advance Fee,, -5.00,
Credit Card,5678,03/11/2026,,Movie Theatre,, -22.50,
Credit Card,5678,03/12/2026,,Lyft Ride,, -17.80,
Credit Card,5678,03/13/2026,,Electronics Store,, -199.99,
Credit Card,5678,03/14/2026,,Purchase Interest,, -8.13,
Credit Card,5678,03/15/2026,,PrimeVideo,, -9.04,
Credit Card,5678,03/16/2026,,Home Goods,, -73.22,
Credit Card,5678,03/17/2026,,Game Store,, -61.49,
